,State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
208,MO,Benton County,6325,274766,497,16432,636,30900,139,2.198
1694,KS,Marshall County,3994,239076,162,6671,155,5384,-7,-0.175
323,TN,Dickson County,18301,1088879,1291,53133,1599,84349,308,1.683
734,OK,Noble County,3599,216241,299,12758,329,14404,30,0.8340000000000001
1519,TX,Gregg County,41650,2575835,3705,185950,3705,173707,0,0.0
765,OH,Licking County,65203,4386710,4128,219317,4634,253824,506,0.7759999999999999
1300,KY,Owsley County,1059,38986,43,1137,45,1556,2,0.18899999999999997
1034,OR,Washington County,214549,20931809,19016,1353351,20005,1325403,989,0.461
1654,WA,King County,870653,118721944,64891,5749471,63819,5370689,-1072,-0.12300000000000001
1213,OH,Richland County,45689,2519274,2269,98881,2394,101289,125,0.27399999999999997
2606,ND,Griggs County,932,59508,38,1837,27,980,-11,-1.18
1353,MS,Tate County,9043,472808,662,28063,675,29510,13,0.14400000000000002
238,NC,Alamance County,56556,3367906,3558,164456,4709,226472,1151,2.035
1146,OK,Love County,3215,167052,303,12045,314,11659,11,0.342
630,IN,Floyd County,29159,2406583,2535,137124,2831,146894,296,1.015
344,VA,Buckingham County,5094,245144,290,10677,372,16373,82,1.61
2922,AR,Mississippi County,12510,609009,899,35899,590,20854,-309,-2.47
213,MT,Deer Lodge County,3247,175351,234,9570,304,13054,70,2.156
847,TN,Wayne County,4579,211430,222,6809,253,11177,31,0.677
2281,NY,Onondaga County,179844,13222164,8755,655834,7479,414774,-1276,-0.71
1955,GA,Lanier County,2414,102890,339,10567,329,10395,-10,-0.414
2886,FL,Monroe County,31459,3623549,4183,299772,3500,408486,-683,-2.171
2492,AR,Arkansas County,6006,332596,329,12397,270,10647,-59,-0.982
2985,TX,Dallam County,2411,125326,315,13037,206,9571,-109,-4.521
1576,AR,Yell County,6347,285982,460,16141,456,17156,-4,-0.063
1478,PA,Bucks County,259480,28567570,13881,1154922,13909,1177325,28,0.011000000000000001
1793,NY,Schenectady County,60995,4272889,4474,278693,4311,231817,-163,-0.267
1056,IA,Bremer County,8900,679615,569,28138,607,29971,38,0.42700000000000005
2042,MN,Ramsey County,204761,16286652,21241,1239206,20245,1144842,-996,-0.486
2266,GA,Jefferson County,5327,235057,297,9319,260,10295,-37,-0.695
888,GA,Camden County,16179,925321,2163,98699,2266,105267,103,0.637
2720,KY,Todd County,3746,193550,268,9349,214,7458,-54,-1.442
1396,KY,Rockcastle County,4742,213593,298,10114,303,10481,5,0.105
2901,MN,Lyon County,9316,650090,719,34391,507,21360,-212,-2.276
1430,MA,Franklin County,28915,1886927,1782,116184,1803,84377,21,0.073
308,GA,Putnam County,7156,440276,583,29167,709,61800,126,1.761
939,IA,Adair County,2761,149122,151,5757,167,6431,16,0.58
1860,SD,Bennett County,902,31333,45,1397,42,1196,-3,-0.33299999999999996
826,MI,Newaygo County,16906,918224,1255,50016,1373,66265,118,0.698
830,TX,San Saba County,1868,96207,112,4640,125,6532,13,0.696
609,OR,Wallowa County,2755,149202,161,6987,190,10700,29,1.053
2499,HI,Honolulu County,386851,29283945,24483,1419291,20668,1200118,-3815,-0.986
307,OR,Sherman County,624,39854,36,1562,47,2057,11,1.7630000000000001
2978,MO,Scotland County,1583,70482,134,4895,72,2724,-62,-3.917
639,MT,Lewis and Clark County,26887,1879736,1802,97551,2071,112320,269,1.0
1128,NE,Franklin County,1125,53532,54,2204,58,2083,4,0.35600000000000004
1544,IA,Cedar County,7063,387343,494,26138,492,23944,-2,-0.027999999999999997
629,AZ,Pima County,357693,23566216,18183,1047202,21813,1426356,3630,1.015
742,FL,Okeechobee County,11734,570870,896,35677,992,42857,96,0.818
519,CO,Montezuma County,9200,505907,693,30815,803,41881,110,1.196
460,TX,Cooke County,13813,968128,1046,52487,1229,83645,183,1.325
1928,PA,McKean County,15412,842208,606,30355,547,25103,-59,-0.38299999999999995
2201,MT,Valley County,2840,168267,165,7062,147,7225,-18,-0.634
1979,NC,Pitt County,54100,3425159,4470,203954,4235,192331,-235,-0.434
1620,WI,Pierce County,14877,1128067,1276,70774,1262,72403,-14,-0.094
731,CO,El Paso County,244110,18326043,25403,1376039,27445,1517081,2042,0.8370000000000001
2799,GA,Glascock County,808,40933,56,1761,42,1712,-14,-1.733
764,WA,Benton County,68388,5414669,5338,331343,5870,324704,532,0.778
2937,TN,Lake County,1626,65861,125,4670,82,2986,-43,-2.645
2609,IA,Mahaska County,7586,494659,517,23268,427,19285,-90,-1.186
1255,NC,Randolph County,49144,2779124,2825,120648,2938,119207,113,0.23
1006,IL,Jasper County,3806,220675,125,4710,144,5732,19,0.499
2051,KY,Pendleton County,4885,288461,428,16083,404,15970,-24,-0.491
1507,NE,Arthur County,149,4384,-1,-1,-1,-1,0,0.0
1326,MO,Carter County,1817,72075,124,3545,127,3668,3,0.165
2343,KS,Rawlins County,1021,50484,32,1000,24,1691,-8,-0.784
2152,WV,Taylor County,5717,330999,353,18253,319,16222,-34,-0.595
2030,IA,Jones County,7378,455080,445,20278,410,20641,-35,-0.474
781,IA,Iowa County,6407,425625,364,17052,412,19900,48,0.7490000000000001
1803,OH,Tuscarawas County,35717,2116732,1628,70692,1529,67181,-99,-0.27699999999999997
1706,IN,Martin County,3741,208185,206,9665,199,8468,-7,-0.187
2646,MT,Hill County,5809,324730,407,15751,334,13635,-73,-1.2570000000000001
485,ME,York County,84439,5840835,5206,290171,6274,400274,1068,1.265
1468,OK,Pittsburg County,13658,724920,858,36850,861,38629,3,0.022000000000000002
2656,SD,Oglala Lakota County,3138,106290,227,7303,187,4572,-40,-1.275
738,OK,Delaware County,11878,598520,1143,48080,1241,62690,98,0.825
1666,IN,Elkhart County,73857,5229975,4043,220939,3940,191600,-103,-0.139
890,TN,Carroll County,8995,440084,622,22200,679,27246,57,0.634
2340,ND,Burke County,896,68202,34,2121,27,1608,-7,-0.7809999999999999
708,WI,Waushara County,9092,486206,622,24285,702,34687,80,0.88
1205,NC,Vance County,14591,668400,892,31811,933,31676,41,0.281
591,KS,Clay County,3053,158980,181,8043,214,9700,33,1.081
1338,IA,Cass County,5091,284558,270,11191,278,12131,8,0.157
868,WI,Green Lake County,7492,426776,520,23420,569,30692,49,0.654
1820,MO,Scott County,13081,763862,1030,39404,992,34291,-38,-0.29
2126,MT,Golden Valley County,349,14144,25,1090,23,659,-2,-0.573
1118,IA,Ringgold County,1647,77506,81,3015,87,4728,6,0.364
1583,TX,Crane County,1491,99844,100,9058,99,4537,-1,-0.067
2395,CO,Summit County,12453,1178427,1892,118895,1787,184291,-105,-0.843
1291,SD,Roberts County,3540,184959,186,7083,193,9850,7,0.198
162,MO,Lincoln County,19947,1212458,1382,66163,1883,95398,501,2.512
2545,NE,Hall County,23039,1506138,1664,76806,1417,54894,-247,-1.072
1354,WI,Outagamie County,73683,5679487,5474,322045,5580,294865,106,0.14400000000000002
586,MO,Clay County,89849,6666330,8048,448438,9026,476812,978,1.088
2236,TX,Wharton County,14796,847384,841,36154,743,36484,-98,-0.662
2852,NE,Dixon County,2142,117432,141,6260,98,4455,-43,-2.0069999999999997
1563,OH,Highland County,14459,687050,968,36062,961,37134,-7,-0.048
2358,KY,Calloway County,11421,637555,945,33771,854,35039,-91,-0.797
2106,SD,Douglas County,1088,51904,54,2272,48,1618,-6,-0.551
628,ID,Bonneville County,37389,2960254,2882,146563,3263,172875,381,1.0190000000000001
2495,IA,Sac County,3860,237337,210,8446,172,7749,-38,-0.9840000000000001
1467,VT,Caledonia County,12024,650589,653,31019,656,30414,3,0.025
2854,ND,Emmons County,1335,67843,57,2769,30,1557,-27,-2.022
2319,SD,Hamlin County,1978,128388,147,6664,132,6859,-15,-0.758
1593,NC,Columbus County,16214,732947,778,26442,766,26425,-12,-0.07400000000000001
2790,MS,Adams County,9528,494125,597,23099,435,15067,-162,-1.7
1510,ND,Sheridan County,500,23369,22,1027,22,950,0,0.0
1124,GA,Floyd County,30554,1865901,1790,99242,1899,81521,109,0.35700000000000004
580,AL,St. Clair County,28340,1776062,2139,108142,2449,130090,310,1.094
1920,IA,Louisa County,4011,235353,262,9580,247,10606,-15,-0.374
2608,SD,Grant County,2874,182450,154,8557,120,5900,-34,-1.183
285,NC,Ashe County,9059,459899,420,20217,589,31975,169,1.8659999999999999
2000,IA,Lucas County,3119,167759,176,7119,162,6747,-14,-0.449
1177,OK,Washita County,3276,163479,303,12104,313,11239,10,0.305
1887,GA,Bacon County,3142,153666,187,5131,176,6209,-11,-0.35
1960,MN,Nicollet County,12251,918488,1238,68672,1187,54618,-51,-0.41600000000000004
1269,KY,Wolfe County,1865,72166,107,3560,111,3710,4,0.214
242,NY,Hamilton County,2082,124074,122,5573,164,9967,42,2.017
217,NC,Clay County,3591,185385,289,10913,366,19562,77,2.144
