State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Flow(%),Unemployment Rate(%),1 Bed Average,2 Bed Average,Highest Marginal Income Tax Rate (%),Median Home Price 2017
VA,Richmond County,2776,154696,192,7054,262,12344,70,2.522,3.1,662,880,5.75,166950
MO,Daviess County,2773,136143,187,7431,147,6258,-40,-1.442,3.0,555,641,5.4,106244
MO,Hickory County,2773,103665,268,9573,273,11227,5,0.18,4.1,482,641,5.4,94789
NE,Merrick County,2768,152963,168,7567,182,8567,14,0.506,2.8,561,654,6.84,96305
VA,Charles City County,2767,170732,167,7735,179,11729,12,0.434,3.9,970,1114,5.75,175000
IA,Adair County,2761,149122,151,5757,167,6431,16,0.58,2.4,496,660,8.53,98435
TX,Stephens County,2759,140533,158,6954,167,8076,9,0.326,3.6,536,711,0.0,78839
OR,Wallowa County,2755,149202,161,6987,190,10700,29,1.053,6.1,657,754,9.9,239344
MO,Chariton County,2754,141016,125,4936,141,5576,16,0.581,2.8,491,641,5.4,85437
TX,Coleman County,2742,144390,175,6368,203,10397,28,1.021,4.0,524,697,0.0,70783
ID,Clearwater County,2738,146211,183,8157,228,9711,45,1.644,6.7,581,773,6.925,147921
MI,Baraga County,2738,136207,123,4579,116,5333,-7,-0.256,6.1,524,697,4.25,100582
KS,Kingman County,2736,148599,181,16685,191,8596,10,0.365,3.2,547,728,5.7,95157
NE,Dawes County,2735,139691,267,9862,170,7005,-97,-3.547,2.7,529,704,6.84,113892
GA,Irwin County,2731,135086,209,6028,218,7071,9,0.33,5.6,520,659,5.75,86427
GA,Pulaski County,2730,137966,216,8713,199,8076,-17,-0.623,4.3,574,659,5.75,118252
TX,Hamilton County,2729,192170,227,10830,280,12606,53,1.942,3.3,577,767,0.0,116539
MS,Wilkinson County,2725,109434,128,4195,134,7595,6,0.22,8.5,546,726,5.0,62412
TX,McCulloch County,2719,140137,188,8121,209,9485,21,0.772,3.3,536,697,0.0,88076
NE,Jefferson County,2713,158480,158,6922,134,5362,-24,-0.885,2.5,491,653,6.84,79990
VA,Greensville County,2712,126340,273,8998,271,8479,-2,-0.074,3.7,619,823,5.75,91454
NM,Quay County,2712,98358,175,7123,142,4377,-33,-1.217,4.8,524,697,4.9,74025
TX,Yoakum County,2699,195927,204,11190,154,7012,-50,-1.853,2.8,607,697,0.0,87968
KS,Anderson County,2696,132852,163,5767,136,5843,-27,-1.001,3.5,607,697,5.7,91028
