State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Flow(%),Unemployment Rate(%),1 Bed Average,2 Bed Average,Highest Marginal Income Tax Rate (%),Median Home Price 2017
PA,Jefferson County,17061,927044,816,30871,775,28621,-41,-0.24,4.6,559,697,3.07,"$100,838 "
NM,Taos County,12085,572438,702,35833,819,49448,117,0.968,6.5,777,921,4.9,"$223,922 "
TX,Kinney County,1012,54273,61,3050,60,2965,-1,-0.099,4.7,600,798,0.0,"$68,957 "
ME,Waldo County,14846,814885,1039,46800,1104,56847,65,0.438,3.5,724,831,7.15,"$165,353 "
ME,Penobscot County,54471,3239598,3068,148356,3002,139529,-66,-0.121,3.8,668,870,7.15,"$143,831 "
ME,Cumberland County,121235,10726185,8137,527263,8861,629612,724,0.597,2.7,792,1031,7.15,"$294,008 "
NH,Cheshire County,29945,2173431,1915,117694,1942,119683,27,0.09,2.5,926,1193,0.0,"$214,611 "
TN,Cocke County,11853,477728,675,21261,857,29190,182,1.535,4.7,482,641,0.0,"$116,709 "
MS,Monroe County,11734,617800,685,24707,616,25402,-69,-0.588,4.9,533,709,5.0,"$90,001 "
TX,Freestone County,5964,329604,438,20430,420,21453,-18,-0.302,5.8,586,699,0.0,"$92,480 "
NJ,Hudson County,259098,20659718,27819,2821664,25347,2203853,-2472,-0.954,3.9,1463,1748,10.75,"$400,082 "
MA,Middlesex County,624151,86407105,48934,4974179,43495,3823209,-5439,-0.871,2.7,1546,1894,5.05,"$550,958 "
NV,White Pine County,3036,188115,247,13361,238,10233,-9,-0.296,3.7,845,980,0.0,"$148,480 "
WV,Wyoming County,5517,263366,225,9515,183,6293,-42,-0.761,7.1,542,644,6.5,"$70,108 "
VT,Windsor County,24027,1684536,1797,100846,1865,125704,68,0.283,2.3,916,1115,8.75,"$226,011 "
CT,Hartford County,356776,31895948,19061,1470374,16087,1047692,-2974,-0.834,4.2,997,1242,6.99,"$248,011 "
VT,Chittenden County,67272,5835074,5157,305322,4426,275094,-731,-1.087,2.1,1184,1523,8.75,"$309,038 "
VT,Essex County,2279,101084,177,5280,186,7537,9,0.395,3.6,645,823,8.75,"$134,687 "
CT,Hartford County,356776,31895948,19061,1470374,16087,1047692,-2974,-0.834,4.2,997,1242,6.99,"$248,011 "
WV,Doddridge County,2258,140938,156,6571,99,4681,-57,-2.524,4.0,512,681,6.5,"$109,344 "
VA,Caroline County,10832,652553,1099,53504,1207,60741,108,0.997,3.5,970,1114,5.75,"$207,423 "
AR,Conway County,6395,362676,421,17130,468,19374,47,0.735,4.4,574,763,6.9,"$102,862 "
ME,Kennebec County,46913,2784631,2865,147700,2991,145222,126,0.269,3.2,662,817,7.15,"$168,768 "
MA,Essex County,313172,31622947,17101,1307782,15962,1260065,-1139,-0.364,3.4,1546,1894,5.05,"$436,610 "
FL,Citrus County,52220,2769914,3760,176255,5471,319564,1711,3.277,5.2,627,834,0.0,"$139,558 "
CO,Mesa County,54278,3604644,3527,175854,4179,228083,652,1.201,4.1,670,891,4.63,"$252,653 "
GA,Wilkes County,3159,149301,170,6170,153,7726,-17,-0.538,4.6,519,690,5.75,"$88,769 "
VT,Essex County,2279,101084,177,5280,186,7537,9,0.395,3.6,645,823,8.75,"$134,687 "
WY,Weston County,2488,158856,162,8110,155,8083,-7,-0.281,,694,841,0.0,"$188,206 "
AL,Limestone County,30768,2193176,2125,140568,3100,201811,975,3.169,3.5,646,768,5.0,"$168,090 "
ME,Androscoggin County,39357,2179122,2525,115960,2680,113106,155,0.394,3.3,695,881,7.15,"$165,103 "
ME,Penobscot County,54471,3239598,3068,148356,3002,139529,-66,-0.121,3.8,771,977,7.15,"$143,831 "
WI,Menominee County,1388,52786,111,3287,90,4067,-21,-1.513,5.7,518,689,7.65,"$91,657 "
ME,Hancock County,22033,1380564,1201,72453,1433,89567,232,1.053,3.8,740,907,7.15,"$214,504 "
MA,Plymouth County,204025,21041244,11602,1006256,12253,994861,651,0.319,3.5,1138,1460,5.05,"$396,341 "
KY,Jessamine County,16789,1272189,1593,80921,1743,104741,150,0.893,3.6,686,880,5.0,"$177,807 "
MA,Hampden County,177563,12132779,7531,410815,6369,310142,-1162,-0.654,4.6,934,1180,5.05,"$223,466 "
AR,Chicot County,3014,133132,209,6815,175,7136,-34,-1.128,6.9,551,633,6.9,"$65,657 "
IL,Hamilton County,2900,166358,123,4215,108,3973,-15,-0.517,4.4,538,705,4.95,"$93,481 "
TX,Hays County,66538,5433993,8172,415538,9807,710893,1635,2.457,3.0,1104,1350,0.0,"$253,426 "
AR,Clay County,4631,199151,327,11052,277,9341,-50,-1.08,4.4,476,633,6.9,"$72,952 "
