,State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
84,FL,Hernando County ,63180,3133865,5202,217213,7203,339444,2001,3.167
890,TN,Carroll County ,8995,440084,622,22200,679,27246,57,0.634
1064,WI,Chippewa County ,24756,1593830,1614,71850,1717,89599,103,0.41600000000000004
1532,CA,Lassen County ,7602,480529,651,35182,650,29569,-1,-0.013000000000000001
501,GA,Crawford County ,3737,178518,292,9967,338,12419,46,1.2309999999999999
1622,PA,Delaware County ,215856,21633866,13143,1022389,12936,1031557,-207,-0.096
2317,KY,Elliott County ,1718,75819,93,2968,80,2280,-13,-0.757
1618,WY,Johnson County ,3228,212330,266,12856,263,16255,-3,-0.09300000000000001
102,FL,Gilchrist County ,5010,262981,460,16637,611,25273,151,3.014
444,TX,Palo Pinto County ,9019,521199,742,36848,865,54796,123,1.364
2614,CA,Yolo County ,68867,6029340,6737,406766,5914,357787,-823,-1.195
2471,MA,Hampshire County ,57798,4716596,4734,256570,4186,230145,-548,-0.948
2783,KS,Ellis County ,10140,641060,803,37243,635,24182,-168,-1.6569999999999998
1329,IN,Howard County ,32132,1878569,1824,83284,1876,76121,52,0.162
1971,IN,Wabash County ,11942,708532,674,32333,623,25274,-51,-0.42700000000000005
2999,NE,Thomas County ,245,11253,23,894,-1,-1,-24,-9.796
1478,PA,Bucks County ,259480,28567570,13881,1154922,13909,1177325,28,0.011000000000000001
876,MO,Mercer County ,1242,47502,41,2064,49,2175,8,0.644
125,TX,Irion County ,542,58903,41,1968,56,2693,15,2.7680000000000002
2167,IL,Shelby County ,8156,478710,504,21811,454,20679,-50,-0.613
2506,NC,Robeson County ,37255,1490227,1837,64452,1465,48079,-372,-0.9990000000000001
1257,AL,Covington County ,11559,621953,575,23405,601,24234,26,0.225
2050,NY,Cayuga County ,28577,1710778,1448,67590,1308,65910,-140,-0.49
2348,MO,Stoddard County ,9518,506023,601,21310,526,19000,-75,-0.7879999999999999
1757,NE,Keith County ,3082,170055,200,8226,193,10193,-7,-0.22699999999999998
2819,TX,Potter County ,36969,2149711,4392,195398,3726,158867,-666,-1.8019999999999998
2040,IA,Hancock County ,4152,258803,237,9598,217,8893,-20,-0.48200000000000004
579,NE,Gosper County ,729,46552,55,2764,63,2783,8,1.097
574,MD,Talbot County ,14938,1444285,1017,81151,1183,118497,166,1.111
1719,TX,Calhoun County ,6996,411881,528,25324,514,24736,-14,-0.2
1142,VA,Shenandoah County ,16565,998054,1132,58619,1189,61418,57,0.344
2972,NE,Dawes County ,2735,139691,267,9862,170,7005,-97,-3.5469999999999997
963,ID,Bannock County ,27100,1618652,1880,82792,2029,90515,149,0.55
2631,MA,Nantucket County ,5544,615699,463,33271,395,35978,-68,-1.227
107,SD,Fall River County ,2618,139073,213,8588,291,12259,78,2.9789999999999996
225,OR,Coos County ,21669,1256702,1416,69852,1874,89355,458,2.114
2088,IL,Pike County ,5599,295177,233,8958,203,7685,-30,-0.536
2270,KS,Wyandotte County ,52603,2472257,5306,230777,4937,196553,-369,-0.701
2001,VT,Rutland County ,25524,1468436,1308,62224,1193,61517,-115,-0.451
2913,ND,Cavalier County ,1576,113973,76,3449,38,2120,-38,-2.411
1215,WI,Kenosha County ,63550,4321225,4166,225256,4340,222691,174,0.27399999999999997
2462,TX,Wichita County ,41031,2543018,3529,168904,3146,156180,-383,-0.9329999999999999
