State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
VA,King William County,6445,423071,472,24411,609,31652,137,2.126
VA,Frederick County,32111,2427790,2551,143722,3233,206752,682,2.124
NV,Douglas County,20595,1957553,1726,126105,2163,210424,437,2.122
OH,Delaware County,71895,9210488,5954,556882,7478,659295,1524,2.12
TX,Hill County,11348,610192,950,38247,1190,58017,240,2.115
TN,Meigs County,3832,197357,379,15708,460,21162,81,2.114
OR,Coos County,21669,1256702,1416,69852,1874,89355,458,2.114
TN,Union County,5773,271476,478,17383,600,26387,122,2.113
TX,Ector County,50906,3563188,3812,239694,4886,251450,1074,2.11
GA,Hart County,8029,425370,537,23888,706,40150,169,2.105
MI,Kalkaska County,6441,314483,492,20777,627,28225,135,2.096
TN,Bledsoe County,3544,161788,242,9058,316,13119,74,2.088
FL,Levy County,12981,579315,1183,45063,1453,58281,270,2.08
NC,Currituck County,9171,607091,838,43477,1028,63975,190,2.072
TX,Fannin County,10473,605206,853,41506,1068,55672,215,2.053
CO,Fremont County,14134,760201,1098,47580,1388,67811,290,2.052
ID,Shoshone County,4164,193335,305,12430,390,16222,85,2.041
AZ,Navajo County,30364,1433215,2405,106421,3024,141791,619,2.039
FL,Lee County,267184,21814777,18787,1213264,24236,2365945,5449,2.039
NC,Alamance County,56556,3367906,3558,164456,4709,226472,1151,2.035
GA,White County,8672,478255,750,29515,926,48303,176,2.03
TX,Real County,1184,58578,89,3913,113,5603,24,2.027
OR,Tillamook County,9570,606683,701,31575,894,51203,193,2.017
NY,Hamilton County,2082,124074,122,5573,164,9967,42,2.017
AR,Marion County,5007,208624,432,16875,533,25242,101,2.017
KY,Scott County,18422,1328706,1644,86989,2013,129611,369,2.003
TN,Jefferson County,17161,925809,1567,63162,1910,91965,343,1.999
NC,Haywood County,22190,1192514,1353,61229,1795,100207,442,1.992
TN,Sumner County,64493,5106223,5401,299666,6681,396465,1280,1.985
KS,Clark County,707,39248,33,1881,47,2490,14,1.98
CA,Sierra County,960,55257,70,3791,89,5479,19,1.979
TN,Perry County,2480,126614,108,3357,157,6600,49,1.976
AR,Perry County,2997,156384,193,7327,252,10356,59,1.969
GA,Talbot County,1982,84733,140,5462,179,6297,39,1.968
IN,Hancock County,28337,2210812,2360,142147,2917,172937,557,1.966
GA,Newton County,34094,1772375,3540,147967,4209,165395,669,1.962
GA,Charlton County,2659,124673,203,6681,255,9609,52,1.956
KY,Simpson County,6356,329602,461,17344,585,20412,124,1.951
NC,Hoke County,14378,675818,2287,101557,2567,103372,280,1.947
GA,Columbia County,47302,4115242,5099,331699,6020,372163,921,1.947
KS,Cheyenne County,977,40659,25,1433,44,1774,19,1.945
WA,Lincoln County,3650,230728,255,11307,326,17339,71,1.945
