,outflow_state,outflow_county,outflow_n1,outflow_n2,agi_x,inflow_state,inflow_county,inflow_n1,inflow_n2,agi_y
2716,MS,Panola County Total Migration-US and Foreign,634,1349,23340,MS,Panola County Total Migration-US and Foreign,629,1328,24267
2717,MS,Panola County Non-migrants,11303,25247,504460,MS,Panola County Non-migrants,11303,25247,504460
2718,MS,Pearl River County Total Migration-US and Foreign,1100,2278,47488,MS,Pearl River County Total Migration-US and Foreign,1185,2488,53265
2719,MS,Pearl River County Non-migrants,16311,37605,860103,MS,Pearl River County Non-migrants,16311,37605,860103
2720,MS,Perry County Total Migration-US and Foreign,274,595,11613,MS,Perry County Total Migration-US and Foreign,249,566,9560
2721,MS,Perry County Non-migrants,3522,8068,163766,MS,Perry County Non-migrants,3522,8068,163766
2722,MS,Pike County Total Migration-US and Foreign,772,1636,29161,MS,Pike County Total Migration-US and Foreign,692,1542,26815
2723,MS,Pike County Non-migrants,12615,28002,574390,MS,Pike County Non-migrants,12615,28002,574390
2724,MS,Pontotoc County Total Migration-US and Foreign,693,1552,25807,MS,Pontotoc County Total Migration-US and Foreign,683,1521,23074
2725,MS,Pontotoc County Non-migrants,10010,23722,502859,MS,Pontotoc County Non-migrants,10010,23722,502859
2726,MS,Prentiss County Total Migration-US and Foreign,429,916,14367,MS,Prentiss County Total Migration-US and Foreign,426,884,12632
2727,MS,Prentiss County Non-migrants,7460,17109,348772,MS,Prentiss County Non-migrants,7460,17109,348772
2728,MS,Quitman County Total Migration-US and Foreign,144,338,4102,MS,Quitman County Total Migration-US and Foreign,111,251,3004
2729,MS,Quitman County Non-migrants,2144,4716,72215,MS,Quitman County Non-migrants,2144,4716,72215
2730,MS,Rankin County Total Migration-US and Foreign,3619,7252,196182,MS,Rankin County Total Migration-US and Foreign,3863,7762,195023
2731,MS,Rankin County Non-migrants,50963,112816,3499631,MS,Rankin County Non-migrants,50963,112816,3499630
2732,MS,Scott County Total Migration-US and Foreign,545,1202,19350,MS,Scott County Total Migration-US and Foreign,409,904,13778
2733,MS,Scott County Non-migrants,9028,21551,392542,MS,Scott County Non-migrants,9028,21551,392542
2734,MS,Sharkey County Total Migration-US and Foreign,96,215,3305,MS,Sharkey County Total Migration-US and Foreign,64,147,2852
2735,MS,Sharkey County Non-migrants,1434,3162,54809,MS,Sharkey County Non-migrants,1434,3162,54809
2736,MS,Simpson County Total Migration-US and Foreign,509,1074,16059,MS,Simpson County Total Migration-US and Foreign,482,1028,17693
2737,MS,Simpson County Non-migrants,8077,17813,382015,MS,Simpson County Non-migrants,8077,17813,382015
2738,MS,Smith County Total Migration-US and Foreign,314,721,10900,MS,Smith County Total Migration-US and Foreign,277,645,11823
2739,MS,Smith County Non-migrants,4722,10963,243605,MS,Smith County Non-migrants,4722,10963,243605
2740,MS,Stone County Total Migration-US and Foreign,387,853,16948,MS,Stone County Total Migration-US and Foreign,421,954,17835
2741,MS,Stone County Non-migrants,5082,11644,254175,MS,Stone County Non-migrants,5082,11644,254175
2742,MS,Sunflower County Total Migration-US and Foreign,500,1089,12877,MS,Sunflower County Total Migration-US and Foreign,356,762,10083
2743,MS,Sunflower County Non-migrants,7485,16286,301855,MS,Sunflower County Non-migrants,7485,16286,301855
2744,MS,Tallahatchie County Total Migration-US and Foreign,247,507,7241,MS,Tallahatchie County Total Migration-US and Foreign,188,445,5560
2745,MS,Tallahatchie County Non-migrants,3899,8511,147824,MS,Tallahatchie County Non-migrants,3899,8511,147824
2746,MS,Tate County Total Migration-US and Foreign,662,1450,28063,MS,Tate County Total Migration-US and Foreign,675,1473,29510
2747,MS,Tate County Non-migrants,9043,20495,472808,MS,Tate County Non-migrants,9043,20495,472808
2748,MS,Tippah County Total Migration-US and Foreign,329,711,13749,MS,Tippah County Total Migration-US and Foreign,341,727,10624
2749,MS,Tippah County Non-migrants,6981,16229,319330,MS,Tippah County Non-migrants,6981,16229,319330
2750,MS,Tishomingo County Total Migration-US and Foreign,315,644,11841,MS,Tishomingo County Total Migration-US and Foreign,339,734,12121
2751,MS,Tishomingo County Non-migrants,5801,13439,290717,MS,Tishomingo County Non-migrants,5801,13439,290717
2752,MS,Tunica County Total Migration-US and Foreign,358,806,11094,MS,Tunica County Total Migration-US and Foreign,307,659,7598
2753,MS,Tunica County Non-migrants,3488,7771,117521,MS,Tunica County Non-migrants,3488,7771,117521
2754,MS,Union County Total Migration-US and Foreign,631,1407,25156,MS,Union County Total Migration-US and Foreign,616,1369,25651
2755,MS,Union County Non-migrants,8911,20892,463627,MS,Union County Non-migrants,8911,20892,463627
2756,MS,Walthall County Total Migration-US and Foreign,305,714,11414,MS,Walthall County Total Migration-US and Foreign,251,578,10592
2757,MS,Walthall County Non-migrants,4388,9658,195228,MS,Walthall County Non-migrants,4388,9658,195228
2758,MS,Warren County Total Migration-US and Foreign,1004,2015,46435,MS,Warren County Total Migration-US and Foreign,750,1473,34560
2759,MS,Warren County Non-migrants,16308,34944,896958,MS,Warren County Non-migrants,16308,34944,896958
2760,MS,Washington County Total Migration-US and Foreign,951,2013,35773,MS,Washington County Total Migration-US and Foreign,617,1307,17344
2761,MS,Washington County Non-migrants,15183,33563,659106,MS,Washington County Non-migrants,15183,33563,659106
2762,MS,Wayne County Total Migration-US and Foreign,340,728,12310,MS,Wayne County Total Migration-US and Foreign,285,597,10394
2763,MS,Wayne County Non-migrants,6600,15007,317180,MS,Wayne County Non-migrants,6600,15007,317180
2764,MS,Webster County Total Migration-US and Foreign,218,445,8187,MS,Webster County Total Migration-US and Foreign,209,464,9209
2765,MS,Webster County Non-migrants,3075,7190,151737,MS,Webster County Non-migrants,3075,7190,151737
2766,MS,Wilkinson County Total Migration-US and Foreign,128,288,4195,MS,Wilkinson County Total Migration-US and Foreign,134,291,7595
2767,MS,Wilkinson County Non-migrants,2725,5881,109434,MS,Wilkinson County Non-migrants,2725,5881,109434
2768,MS,Winston County Total Migration-US and Foreign,264,546,8302,MS,Winston County Total Migration-US and Foreign,273,549,10452
2769,MS,Winston County Non-migrants,5947,12944,281059,MS,Winston County Non-migrants,5947,12944,281059
2770,MS,Yalobusha County Total Migration-US and Foreign,288,622,10826,MS,Yalobusha County Total Migration-US and Foreign,282,578,11875
2771,MS,Yalobusha County Non-migrants,4188,8826,180779,MS,Yalobusha County Non-migrants,4188,8826,180779
2772,MS,Yazoo County Total Migration-US and Foreign,383,812,14131,MS,Yazoo County Total Migration-US and Foreign,300,622,10840
2773,MS,Yazoo County Non-migrants,7457,16566,319822,MS,Yazoo County Non-migrants,7457,16566,319822
2774,MO,Adair County Total Migration-US and Foreign,653,1201,25399,MO,Adair County Total Migration-US and Foreign,576,1091,22942
2775,MO,Adair County Non-migrants,7372,15467,399881,MO,Adair County Non-migrants,7372,15467,399881
2776,MO,Andrew County Total Migration-US and Foreign,548,1080,29469,MO,Andrew County Total Migration-US and Foreign,564,1170,28116
2777,MO,Andrew County Non-migrants,6452,14259,435672,MO,Andrew County Non-migrants,6452,14259,435672
2778,MO,Atchison County Total Migration-US and Foreign,118,193,4343,MO,Atchison County Total Migration-US and Foreign,74,122,2629
2779,MO,Atchison County Non-migrants,2036,4225,118898,MO,Atchison County Non-migrants,2036,4225,118898
2780,MO,Audrain County Total Migration-US and Foreign,505,958,18255,MO,Audrain County Total Migration-US and Foreign,511,989,17116
2781,MO,Audrain County Non-migrants,8417,18185,424841,MO,Audrain County Non-migrants,8417,18185,424841
2782,MO,Barry County Total Migration-US and Foreign,951,1964,39472,MO,Barry County Total Migration-US and Foreign,1059,2188,42070
2783,MO,Barry County Non-migrants,10943,24624,543469,MO,Barry County Non-migrants,10943,24624,543469
2784,MO,Barton County Total Migration-US and Foreign,243,474,8163,MO,Barton County Total Migration-US and Foreign,222,428,8428
2785,MO,Barton County Non-migrants,3954,9101,192688,MO,Barton County Non-migrants,3954,9101,192688
2786,MO,Bates County Total Migration-US and Foreign,361,765,14208,MO,Bates County Total Migration-US and Foreign,407,856,16879
2787,MO,Bates County Non-migrants,5507,11952,284690,MO,Bates County Non-migrants,5507,11952,284690
2788,MO,Benton County Total Migration-US and Foreign,497,976,16432,MO,Benton County Total Migration-US and Foreign,636,1280,30900
2789,MO,Benton County Non-migrants,6325,13034,274766,MO,Benton County Non-migrants,6325,13034,274766
2790,MO,Bollinger County Total Migration-US and Foreign,253,529,9045,MO,Bollinger County Total Migration-US and Foreign,262,572,9519
2791,MO,Bollinger County Non-migrants,3770,8554,170013,MO,Bollinger County Non-migrants,3770,8554,170013
2792,MO,Boone County Total Migration-US and Foreign,5176,8494,259801,MO,Boone County Total Migration-US and Foreign,4614,7960,219601
2793,MO,Boone County Non-migrants,59518,121284,4530725,MO,Boone County Non-migrants,59518,121284,4530725
2794,MO,Buchanan County Total Migration-US and Foreign,2191,4237,107181,MO,Buchanan County Total Migration-US and Foreign,1721,3164,68515
2795,MO,Buchanan County Non-migrants,30116,61674,1758676,MO,Buchanan County Non-migrants,30116,61674,1758676
2796,MO,Butler County Total Migration-US and Foreign,844,1707,31171,MO,Butler County Total Migration-US and Foreign,869,1777,30568
2797,MO,Butler County Non-migrants,13552,29080,659135,MO,Butler County Non-migrants,13552,29080,659135
2798,MO,Caldwell County Total Migration-US and Foreign,243,479,10353,MO,Caldwell County Total Migration-US and Foreign,220,463,8613
2799,MO,Caldwell County Non-migrants,3043,6758,176470,MO,Caldwell County Non-migrants,3043,6758,176470
2800,MO,Callaway County Total Migration-US and Foreign,1208,2261,46405,MO,Callaway County Total Migration-US and Foreign,1184,2237,54731
2801,MO,Callaway County Non-migrants,15366,32247,871930,MO,Callaway County Non-migrants,15366,32247,871930
2802,MO,Camden County Total Migration-US and Foreign,1480,2711,67773,MO,Camden County Total Migration-US and Foreign,1707,3215,105834
2803,MO,Camden County Non-migrants,15484,31428,952210,MO,Camden County Non-migrants,15484,31428,952210
2804,MO,Cape Girardeau County Total Migration-US and Foreign,1896,3513,84348,MO,Cape Girardeau County Total Migration-US and Foreign,1810,3366,79672
2805,MO,Cape Girardeau County Non-migrants,27394,57781,1887257,MO,Cape Girardeau County Non-migrants,27394,57781,1887257
2806,MO,Carroll County Total Migration-US and Foreign,161,316,5726,MO,Carroll County Total Migration-US and Foreign,138,269,4442
2807,MO,Carroll County Non-migrants,3226,6853,173678,MO,Carroll County Non-migrants,3226,6853,173678
2808,MO,Carter County Total Migration-US and Foreign,124,271,3545,MO,Carter County Total Migration-US and Foreign,127,256,3668
2809,MO,Carter County Non-migrants,1817,4120,72075,MO,Carter County Non-migrants,1817,4120,72075
2810,MO,Cass County Total Migration-US and Foreign,2886,5491,143237,MO,Cass County Total Migration-US and Foreign,3342,6549,195435
2811,MO,Cass County Non-migrants,37615,82618,2738149,MO,Cass County Non-migrants,37615,82618,2738149
2812,MO,Cedar County Total Migration-US and Foreign,334,661,12052,MO,Cedar County Total Migration-US and Foreign,379,848,14517
2813,MO,Cedar County Non-migrants,4347,9875,175161,MO,Cedar County Non-migrants,4347,9875,175161
2814,MO,Chariton County Total Migration-US and Foreign,125,238,4936,MO,Chariton County Total Migration-US and Foreign,141,288,5576
2815,MO,Chariton County Non-migrants,2754,6007,141016,MO,Chariton County Non-migrants,2754,6007,141016
2816,MO,Christian County Total Migration-US and Foreign,2819,5709,159229,MO,Christian County Total Migration-US and Foreign,3361,6915,194223
2817,MO,Christian County Non-migrants,28261,66027,1918834,MO,Christian County Non-migrants,28261,66027,1918834
2818,MO,Clark County Total Migration-US and Foreign,155,328,5870,MO,Clark County Total Migration-US and Foreign,152,314,6745
2819,MO,Clark County Non-migrants,2289,4938,110785,MO,Clark County Non-migrants,2289,4938,110785
2820,MO,Clay County Total Migration-US and Foreign,8048,14736,448438,MO,Clay County Total Migration-US and Foreign,9026,16479,476812
2821,MO,Clay County Non-migrants,89849,192014,6666330,MO,Clay County Non-migrants,89849,192014,6666330
2822,MO,Clinton County Total Migration-US and Foreign,732,1474,35342,MO,Clinton County Total Migration-US and Foreign,762,1535,36100
2823,MO,Clinton County Non-migrants,7306,15918,464578,MO,Clinton County Non-migrants,7306,15918,464578
2824,MO,Cole County Total Migration-US and Foreign,1982,3566,96532,MO,Cole County Total Migration-US and Foreign,1800,3324,76716
2825,MO,Cole County Non-migrants,28716,59974,2063653,MO,Cole County Non-migrants,28716,59974,2063653
2826,MO,Cooper County Total Migration-US and Foreign,415,803,15741,MO,Cooper County Total Migration-US and Foreign,436,796,18938
2827,MO,Cooper County Non-migrants,5810,12334,300566,MO,Cooper County Non-migrants,5810,12334,300566
2828,MO,Crawford County Total Migration-US and Foreign,608,1141,18601,MO,Crawford County Total Migration-US and Foreign,577,1133,20119
2829,MO,Crawford County Non-migrants,7826,16963,442330,MO,Crawford County Non-migrants,7826,16963,442330
2830,MO,Dade County Total Migration-US and Foreign,160,313,4941,MO,Dade County Total Migration-US and Foreign,184,380,7880
2831,MO,Dade County Non-migrants,2447,5368,107483,MO,Dade County Non-migrants,2447,5368,107483
2832,MO,Dallas County Total Migration-US and Foreign,446,927,16680,MO,Dallas County Total Migration-US and Foreign,482,1035,17236
2833,MO,Dallas County Non-migrants,5114,11570,219918,MO,Dallas County Non-migrants,5114,11570,219918
2834,MO,Daviess County Total Migration-US and Foreign,187,404,7431,MO,Daviess County Total Migration-US and Foreign,147,318,6258
2835,MO,Daviess County Non-migrants,2773,6558,136143,MO,Daviess County Non-migrants,2773,6558,136143
2836,MO,DeKalb County Total Migration-US and Foreign,274,517,10392,MO,DeKalb County Total Migration-US and Foreign,290,584,10902
2837,MO,DeKalb County Non-migrants,3169,6916,164504,MO,DeKalb County Non-migrants,3169,6916,164504
2838,MO,Dent County Total Migration-US and Foreign,297,591,10119,MO,Dent County Total Migration-US and Foreign,296,598,11092
2839,MO,Dent County Non-migrants,4687,10350,207264,MO,Dent County Non-migrants,4687,10350,207264
2840,MO,Douglas County Total Migration-US and Foreign,309,605,10683,MO,Douglas County Total Migration-US and Foreign,341,741,12250
2841,MO,Douglas County Non-migrants,3926,8880,145838,MO,Douglas County Non-migrants,3926,8880,145838
2842,MO,Dunklin County Total Migration-US and Foreign,594,1258,18758,MO,Dunklin County Total Migration-US and Foreign,459,953,13374
2843,MO,Dunklin County Non-migrants,8515,18942,376672,MO,Dunklin County Non-migrants,8515,18942,376672
2844,MO,Franklin County Total Migration-US and Foreign,2163,4037,97128,MO,Franklin County Total Migration-US and Foreign,2311,4263,121518
2845,MO,Franklin County Non-migrants,39465,84034,2560544,MO,Franklin County Non-migrants,39465,84034,2560544
2846,MO,Gasconade County Total Migration-US and Foreign,341,651,11624,MO,Gasconade County Total Migration-US and Foreign,401,800,17350
2847,MO,Gasconade County Non-migrants,5605,11631,279478,MO,Gasconade County Non-migrants,5605,11631,279478
2848,MO,Gentry County Total Migration-US and Foreign,126,247,3835,MO,Gentry County Total Migration-US and Foreign,116,252,3866
2849,MO,Gentry County Non-migrants,2270,4973,102688,MO,Gentry County Non-migrants,2270,4973,102688
2850,MO,Greene County Total Migration-US and Foreign,7757,14252,357441,MO,Greene County Total Migration-US and Foreign,7756,14282,370778
2851,MO,Greene County Non-migrants,100170,203651,6532717,MO,Greene County Non-migrants,100170,203651,6532717
2852,MO,Grundy County Total Migration-US and Foreign,207,406,8308,MO,Grundy County Total Migration-US and Foreign,133,287,6276
2853,MO,Grundy County Non-migrants,3314,7256,160886,MO,Grundy County Non-migrants,3314,7256,160886
2854,MO,Harrison County Total Migration-US and Foreign,149,292,5635,MO,Harrison County Total Migration-US and Foreign,120,240,4190
2855,MO,Harrison County Non-migrants,2923,6220,123320,MO,Harrison County Non-migrants,2923,6220,123320
2856,MO,Henry County Total Migration-US and Foreign,560,1086,20633,MO,Henry County Total Migration-US and Foreign,648,1327,28751
2857,MO,Henry County Non-migrants,7370,15639,387008,MO,Henry County Non-migrants,7370,15639,387008
2858,MO,Hickory County Total Migration-US and Foreign,268,545,9573,MO,Hickory County Total Migration-US and Foreign,273,572,11227
2859,MO,Hickory County Non-migrants,2773,5795,103665,MO,Hickory County Non-migrants,2773,5795,103665
2860,MO,Holt County Total Migration-US and Foreign,94,167,3765,MO,Holt County Total Migration-US and Foreign,86,175,3896
2861,MO,Holt County Non-migrants,1730,3602,92967,MO,Holt County Non-migrants,1730,3602,92967
2862,MO,Howard County Total Migration-US and Foreign,251,461,9678,MO,Howard County Total Migration-US and Foreign,213,426,9560
2863,MO,Howard County Non-migrants,3443,7374,183507,MO,Howard County Non-migrants,3443,7374,183507
2864,MO,Howell County Total Migration-US and Foreign,772,1631,24253,MO,Howell County Total Migration-US and Foreign,809,1707,30748
2865,MO,Howell County Non-migrants,12496,28153,591983,MO,Howell County Non-migrants,12496,28153,591983
2866,MO,Iron County Total Migration-US and Foreign,212,458,6787,MO,Iron County Total Migration-US and Foreign,255,492,7166
2867,MO,Iron County Non-migrants,2944,6599,133982,MO,Iron County Non-migrants,2944,6599,133982
2868,MO,Jackson County Total Migration-US and Foreign,20018,35149,1093341,MO,Jackson County Total Migration-US and Foreign,19270,32856,975569
2869,MO,Jackson County Non-migrants,251867,507075,16477818,MO,Jackson County Non-migrants,251867,507075,16477818
2870,MO,Jasper County Total Migration-US and Foreign,2995,5839,127152,MO,Jasper County Total Migration-US and Foreign,2957,5826,118995
2871,MO,Jasper County Non-migrants,38881,85855,2143279,MO,Jasper County Non-migrants,38881,85855,2143279
2872,MO,Jefferson County Total Migration-US and Foreign,5038,9181,266756,MO,Jefferson County Total Migration-US and Foreign,5474,9957,272203
2873,MO,Jefferson County Non-migrants,83014,178430,5248960,MO,Jefferson County Non-migrants,83014,178430,5248960
2874,MO,Johnson County Total Migration-US and Foreign,2222,4269,96511,MO,Johnson County Total Migration-US and Foreign,1921,3923,84551
2875,MO,Johnson County Non-migrants,16615,36124,967856,MO,Johnson County Non-migrants,16615,36124,967856
2876,MO,Knox County Total Migration-US and Foreign,57,114,1757,MO,Knox County Total Migration-US and Foreign,74,178,2819
2877,MO,Knox County Non-migrants,1351,3035,53964,MO,Knox County Non-migrants,1351,3035,53964
2878,MO,Laclede County Total Migration-US and Foreign,742,1493,30410,MO,Laclede County Total Migration-US and Foreign,801,1621,28794
2879,MO,Laclede County Non-migrants,11804,26179,545060,MO,Laclede County Non-migrants,11804,26179,545060
2880,MO,Lafayette County Total Migration-US and Foreign,814,1557,34745,MO,Lafayette County Total Migration-US and Foreign,822,1661,34985
2881,MO,Lafayette County Non-migrants,11630,25092,665626,MO,Lafayette County Non-migrants,11630,25092,665626
2882,MO,Lawrence County Total Migration-US and Foreign,1085,2235,42552,MO,Lawrence County Total Migration-US and Foreign,1098,2338,43720
2883,MO,Lawrence County Non-migrants,12296,28371,603286,MO,Lawrence County Non-migrants,12296,28371,603286
2884,MO,Lewis County Total Migration-US and Foreign,205,391,6211,MO,Lewis County Total Migration-US and Foreign,223,410,9047
2885,MO,Lewis County Non-migrants,3263,7075,164785,MO,Lewis County Non-migrants,3263,7075,164785
2886,MO,Lincoln County Total Migration-US and Foreign,1382,2652,66163,MO,Lincoln County Total Migration-US and Foreign,1883,3673,95398
2887,MO,Lincoln County Non-migrants,19947,44471,1212458,MO,Lincoln County Non-migrants,19947,44471,1212458
2888,MO,Linn County Total Migration-US and Foreign,238,444,8319,MO,Linn County Total Migration-US and Foreign,221,430,7352
2889,MO,Linn County Non-migrants,4330,9312,216158,MO,Linn County Non-migrants,4330,9312,216158
2890,MO,Livingston County Total Migration-US and Foreign,329,634,13403,MO,Livingston County Total Migration-US and Foreign,303,557,11786
2891,MO,Livingston County Non-migrants,4964,10481,263337,MO,Livingston County Non-migrants,4964,10481,263337
2892,MO,McDonald County Total Migration-US and Foreign,630,1455,20356,MO,McDonald County Total Migration-US and Foreign,632,1402,21201
2893,MO,McDonald County Non-migrants,6761,16016,303931,MO,McDonald County Non-migrants,6761,16016,303931
2894,MO,Macon County Total Migration-US and Foreign,336,627,13539,MO,Macon County Total Migration-US and Foreign,314,605,10897
2895,MO,Macon County Non-migrants,5642,12146,268062,MO,Macon County Non-migrants,5642,12146,268062
2896,MO,Madison County Total Migration-US and Foreign,266,521,9056,MO,Madison County Total Migration-US and Foreign,253,517,8414
2897,MO,Madison County Non-migrants,3885,8589,191955,MO,Madison County Non-migrants,3885,8589,191955
2898,MO,Maries County Total Migration-US and Foreign,243,493,8760,MO,Maries County Total Migration-US and Foreign,228,460,8415
2899,MO,Maries County Non-migrants,2930,6290,139850,MO,Maries County Non-migrants,2930,6290,139850
2900,MO,Marion County Total Migration-US and Foreign,680,1307,25907,MO,Marion County Total Migration-US and Foreign,645,1313,27246
2901,MO,Marion County Non-migrants,9882,21247,553978,MO,Marion County Non-migrants,9882,21247,553978
2902,MO,Mercer County Total Migration-US and Foreign,41,86,2064,MO,Mercer County Total Migration-US and Foreign,49,88,2175
2903,MO,Mercer County Non-migrants,1242,2762,47502,MO,Mercer County Non-migrants,1242,2762,47502
2904,MO,Miller County Total Migration-US and Foreign,626,1223,20314,MO,Miller County Total Migration-US and Foreign,724,1426,28863
2905,MO,Miller County Non-migrants,7997,17552,369653,MO,Miller County Non-migrants,7997,17552,369653
2906,MO,Mississippi County Total Migration-US and Foreign,256,484,9262,MO,Mississippi County Total Migration-US and Foreign,202,407,6551
2907,MO,Mississippi County Non-migrants,3738,7776,172374,MO,Mississippi County Non-migrants,3738,7776,172374
2908,MO,Moniteau County Total Migration-US and Foreign,316,610,11603,MO,Moniteau County Total Migration-US and Foreign,301,622,11942
2909,MO,Moniteau County Non-migrants,5242,12114,278664,MO,Moniteau County Non-migrants,5242,12114,278664
2910,MO,Monroe County Total Migration-US and Foreign,212,421,8282,MO,Monroe County Total Migration-US and Foreign,233,467,8045
2911,MO,Monroe County Non-migrants,3061,6511,149896,MO,Monroe County Non-migrants,3061,6511,149896
2912,MO,Montgomery County Total Migration-US and Foreign,283,558,10675,MO,Montgomery County Total Migration-US and Foreign,257,526,10314
2913,MO,Montgomery County Non-migrants,4085,8531,206281,MO,Montgomery County Non-migrants,4085,8531,206281
2914,MO,Morgan County Total Migration-US and Foreign,563,1064,20826,MO,Morgan County Total Migration-US and Foreign,643,1300,28338
2915,MO,Morgan County Non-migrants,6527,14453,321396,MO,Morgan County Non-migrants,6527,14453,321396
2916,MO,New Madrid County Total Migration-US and Foreign,491,1011,18236,MO,New Madrid County Total Migration-US and Foreign,400,833,13846
2917,MO,New Madrid County Non-migrants,5273,11436,252820,MO,New Madrid County Non-migrants,5273,11436,252820
2918,MO,Newton County Total Migration-US and Foreign,1696,3458,73052,MO,Newton County Total Migration-US and Foreign,1798,3693,76016
2919,MO,Newton County Non-migrants,18387,41782,1117888,MO,Newton County Non-migrants,18387,41782,1117888
2920,MO,Nodaway County Total Migration-US and Foreign,534,900,21166,MO,Nodaway County Total Migration-US and Foreign,385,671,14380
2921,MO,Nodaway County Non-migrants,6765,14255,374290,MO,Nodaway County Non-migrants,6765,14255,374290
2922,MO,Oregon County Total Migration-US and Foreign,202,435,6050,MO,Oregon County Total Migration-US and Foreign,210,503,8192
2923,MO,Oregon County Non-migrants,3006,6807,116605,MO,Oregon County Non-migrants,3006,6807,116605
2924,MO,Osage County Total Migration-US and Foreign,234,415,8811,MO,Osage County Total Migration-US and Foreign,253,497,10280
2925,MO,Osage County Non-migrants,4850,10912,469655,MO,Osage County Non-migrants,4850,10912,469655
2926,MO,Ozark County Total Migration-US and Foreign,197,407,5693,MO,Ozark County Total Migration-US and Foreign,207,404,9838
2927,MO,Ozark County Non-migrants,2818,6064,108346,MO,Ozark County Non-migrants,2818,6064,108346
2928,MO,Pemiscot County Total Migration-US and Foreign,395,883,13055,MO,Pemiscot County Total Migration-US and Foreign,209,464,5713
2929,MO,Pemiscot County Non-migrants,4685,10620,215990,MO,Pemiscot County Non-migrants,4685,10620,215990
2930,MO,Perry County Total Migration-US and Foreign,385,733,15407,MO,Perry County Total Migration-US and Foreign,313,639,13616
2931,MO,Perry County Non-migrants,7146,15494,397857,MO,Perry County Non-migrants,7146,15494,397857
2932,MO,Pettis County Total Migration-US and Foreign,1023,2066,38836,MO,Pettis County Total Migration-US and Foreign,907,1844,35363
2933,MO,Pettis County Non-migrants,14517,32163,743658,MO,Pettis County Non-migrants,14517,32163,743658
2934,MO,Phelps County Total Migration-US and Foreign,1294,2275,51466,MO,Phelps County Total Migration-US and Foreign,1014,1963,42411
2935,MO,Phelps County Non-migrants,13487,28839,769105,MO,Phelps County Non-migrants,13487,28839,769105
2936,MO,Pike County Total Migration-US and Foreign,337,673,14248,MO,Pike County Total Migration-US and Foreign,324,602,15364
2937,MO,Pike County Non-migrants,5845,12704,300165,MO,Pike County Non-migrants,5845,12704,300165
2938,MO,Platte County Total Migration-US and Foreign,4675,8467,284024,MO,Platte County Total Migration-US and Foreign,5074,9304,311472
2939,MO,Platte County Non-migrants,35890,78637,3619257,MO,Platte County Non-migrants,35890,78637,3619257
2940,MO,Polk County Total Migration-US and Foreign,805,1661,29238,MO,Polk County Total Migration-US and Foreign,860,1728,33153
2941,MO,Polk County Non-migrants,9479,22051,484861,MO,Polk County Non-migrants,9479,22051,484861
2942,MO,Pulaski County Total Migration-US and Foreign,2492,6105,124108,MO,Pulaski County Total Migration-US and Foreign,2570,6021,117851
2943,MO,Pulaski County Non-migrants,12645,29454,637122,MO,Pulaski County Non-migrants,12645,29454,637122
2944,MO,Putnam County Total Migration-US and Foreign,109,197,4782,MO,Putnam County Total Migration-US and Foreign,76,148,3793
2945,MO,Putnam County Non-migrants,1597,3527,69918,MO,Putnam County Non-migrants,1597,3527,69918
2946,MO,Ralls County Total Migration-US and Foreign,255,501,11059,MO,Ralls County Total Migration-US and Foreign,284,589,13054
2947,MO,Ralls County Non-migrants,3634,8026,220110,MO,Ralls County Non-migrants,3634,8026,220110
2948,MO,Randolph County Total Migration-US and Foreign,545,1075,20648,MO,Randolph County Total Migration-US and Foreign,542,1075,20684
2949,MO,Randolph County Non-migrants,8119,17408,429373,MO,Randolph County Non-migrants,8119,17408,429373
2950,MO,Ray County Total Migration-US and Foreign,646,1255,28094,MO,Ray County Total Migration-US and Foreign,684,1427,31849
2951,MO,Ray County Non-migrants,8212,17821,489557,MO,Ray County Non-migrants,8212,17821,489557
2952,MO,Reynolds County Total Migration-US and Foreign,106,198,2680,MO,Reynolds County Total Migration-US and Foreign,102,209,3571
2953,MO,Reynolds County Non-migrants,1871,4222,78360,MO,Reynolds County Non-migrants,1871,4222,78360
2954,MO,Ripley County Total Migration-US and Foreign,283,564,8446,MO,Ripley County Total Migration-US and Foreign,248,525,9736
2955,MO,Ripley County Non-migrants,3910,8841,150974,MO,Ripley County Non-migrants,3910,8841,150974
2956,MO,St. Charles County Total Migration-US and Foreign,9825,17784,641975,MO,St. Charles County Total Migration-US and Foreign,10378,19207,659764
2957,MO,St. Charles County Non-migrants,150687,329397,12896086,MO,St. Charles County Non-migrants,150687,329397,12896086
2958,MO,St. Clair County Total Migration-US and Foreign,210,393,6496,MO,St. Clair County Total Migration-US and Foreign,188,423,6725
2959,MO,St. Clair County Non-migrants,2862,6132,120492,MO,St. Clair County Non-migrants,2862,6132,120492
2960,MO,Ste. Genevieve County Total Migration-US and Foreign,412,775,18019,MO,Ste. Genevieve County Total Migration-US and Foreign,436,824,18250
2961,MO,Ste. Genevieve County Non-migrants,6515,14174,407677,MO,Ste. Genevieve County Non-migrants,6515,14174,407677
2962,MO,St. Francois County Total Migration-US and Foreign,1274,2423,46079,MO,St. Francois County Total Migration-US and Foreign,1427,2771,54702
2963,MO,St. Francois County Non-migrants,20211,43781,1064217,MO,St. Francois County Non-migrants,20211,43781,1064217
2964,MO,St. Louis County Total Migration-US and Foreign,26482,47436,1840109,MO,St. Louis County Total Migration-US and Foreign,25165,45724,1582118
