,State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
224,CO,Cheyenne County ,635,26767,33,1052,-1,-1,-34,-0.05354330708661417
225,CO,Clear Creek County ,3445,320918,467,35249,505,36510,38,0.011030478955007257
226,CO,Conejos County ,2374,100926,163,6645,120,4579,-43,-0.018112889637742206
227,CO,Costilla County ,1066,43636,55,1506,53,2005,-2,-0.001876172607879925
228,CO,Crowley County ,854,34986,58,1663,86,3070,28,0.03278688524590164
229,CO,Custer County ,1648,105742,195,8278,245,19105,50,0.03033980582524272
230,CO,Delta County ,10302,524861,751,34145,929,47151,178,0.017278198408076102
231,CO,Denver County ,254974,25477696,40481,2667509,44384,3124332,3903,0.015307443111846697
232,CO,Dolores County ,649,30831,34,1615,36,1797,2,0.0030816640986132513
233,CO,Douglas County ,115898,16401047,12989,1438525,16067,1541931,3078,0.026557835337969595
234,CO,Eagle County ,21207,2384750,2283,154653,2161,257636,-122,-0.005752817465931061
235,CO,Elbert County ,8920,987976,987,71000,1151,95840,164,0.018385650224215247
236,CO,El Paso County ,244110,18326043,25403,1376039,27445,1517081,2042,0.008365081315800254
237,CO,Fremont County ,14134,760201,1098,47580,1388,67811,290,0.020517900099051932
238,CO,Garfield County ,20507,1744781,1783,103382,1969,114708,186,0.009070073633393476
239,CO,Gilpin County ,2091,146146,276,17000,341,24651,65,0.031085604973696796
240,CO,Grand County ,5703,447418,727,46815,799,55384,72,0.01262493424513414
241,CO,Gunnison County ,5918,403159,711,39750,692,49513,-19,-0.003210544102737411
242,CO,Hinsdale County ,291,20953,-1,-1,-1,-1,0,0.0
243,CO,Huerfano County ,2032,93385,203,8365,293,14498,90,0.04429133858267716
244,CO,Jackson County ,493,23663,22,754,24,1073,2,0.004056795131845842
245,CO,Jefferson County ,222725,21708928,25086,1630334,27058,1775195,1972,0.008853967897631609
246,CO,Kiowa County ,456,22707,21,617,29,1406,8,0.017543859649122806
247,CO,Kit Carson County ,2541,100401,178,7257,193,9878,15,0.0059031877213695395
248,CO,Lake County ,2501,139652,343,14637,435,19875,92,0.036785285885645745
249,CO,La Plata County ,20718,1740363,1898,112022,2004,140391,106,0.005116323969495125
250,CO,Larimer County ,127102,11184048,12284,682153,13283,846664,999,0.007859829113625278
251,CO,Las Animas County ,4627,226234,351,14630,424,17664,73,0.015776961314026366
252,CO,Lincoln County ,1588,80709,94,3974,96,4231,2,0.0012594458438287153
