INTPTLAT,INTPTLNG,COUNTY NAME,USPS
30.139432,-84.374846,Wakulla County,FL
30.631211,-86.176614,Walton County,FL
30.602217,-85.662797,Washington County,FL
31.739712,-82.290103,Appling County,GA
31.296806,-82.878151,Atkinson County,GA
31.55021,-82.451433,Bacon County,GA
31.31958,-84.454881,Baker County,GA
33.05949,-83.255457,Baldwin County,GA
34.351922,-83.498441,Banks County,GA
33.992009,-83.712303,Barrow County,GA
34.240917,-84.838188,Bartow County,GA
31.740772,-83.147197,Ben Hill County,GA
31.288652,-83.22787,Berrien County,GA
32.808845,-83.694194,Bibb County,GA
32.435403,-83.331717,Bleckley County,GA
31.197334,-81.982978,Brantley County,GA
30.822934,-83.581905,Brooks County,GA
32.017969,-81.438543,Bryan County,GA
32.391711,-81.744021,Bulloch County,GA
33.060181,-82.000164,Burke County,GA
33.290355,-83.958221,Butts County,GA
31.521279,-84.62629,Calhoun County,GA
30.913358,-81.642019,Camden County,GA
32.40395,-82.071266,Candler County,GA
33.582237,-85.080527,Carroll County,GA
34.900218,-85.139386,Catoosa County,GA
30.779904,-82.139644,Charlton County,GA
31.980404,-81.085184,Chatham County,GA
32.347445,-84.788021,Chattahoochee County,GA
34.474178,-85.345289,Chattooga County,GA
34.244317,-84.475057,Cherokee County,GA
33.952185,-83.367152,Clarke County,GA
31.619831,-84.992583,Clay County,GA
33.542686,-84.355573,Clayton County,GA
30.917653,-82.702614,Clinch County,GA
33.93993,-84.574112,Cobb County,GA
31.549245,-82.84494,Coffee County,GA
31.189707,-83.769773,Colquitt County,GA
33.547631,-82.252296,Columbia County,GA
31.152516,-83.429445,Cook County,GA
33.352897,-84.762138,Coweta County,GA
32.709428,-83.979187,Crawford County,GA
31.915148,-83.753531,Crisp County,GA
34.852424,-85.506201,Dade County,GA
34.442608,-84.173261,Dawson County,GA
30.880643,-84.58389,Decatur County,GA
33.770661,-84.226343,DeKalb County,GA
32.164369,-83.167866,Dodge County,GA
32.151995,-83.807167,Dooly County,GA
31.532588,-84.20904,Dougherty County,GA
33.701242,-84.767314,Douglas County,GA
31.324191,-84.906723,Early County,GA
30.714008,-82.897376,Echols County,GA
32.36168,-81.343372,Effingham County,GA
34.116413,-82.841909,Elbert County,GA
32.5911,-82.299763,Emanuel County,GA
32.153083,-81.890153,Evans County,GA
34.866543,-84.317331,Fannin County,GA
33.412717,-84.493941,Fayette County,GA
34.263692,-85.213685,Floyd County,GA
34.225143,-84.127408,Forsyth County,GA
34.375266,-83.227532,Franklin County,GA
33.790034,-84.468182,Fulton County,GA
34.690506,-84.454624,Gilmer County,GA
33.227491,-82.606913,Glascock County,GA
31.21271,-81.49645,Glynn County,GA
34.509667,-84.873862,Gordon County,GA
30.875908,-84.24508,Grady County,GA
33.57674,-83.166613,Greene County,GA
33.959146,-84.023087,Gwinnett County,GA
34.634392,-83.525875,Habersham County,GA
34.317569,-83.8185,Hall County,GA
33.26922,-83.000465,Hancock County,GA
33.795165,-85.220063,Haralson County,GA
32.731549,-84.912432,Harris County,GA
34.348733,-82.96329,Hart County,GA
33.291347,-85.137886,Heard County,GA
33.452947,-84.154021,Henry County,GA
32.458287,-83.662522,Houston County,GA
31.604306,-83.277037,Irwin County,GA
34.130905,-83.562557,Jackson County,GA
33.316981,-83.689151,Jasper County,GA
31.811615,-82.636825,Jeff Davis County,GA
33.058176,-82.420004,Jefferson County,GA
32.794563,-81.971524,Jenkins County,GA
32.694584,-82.66397,Johnson County,GA
33.021664,-83.562196,Jones County,GA
33.07444,-84.146689,Lamar County,GA
31.038197,-83.063164,Lanier County,GA
32.39322,-82.926317,Laurens County,GA
31.818419,-84.146681,Lee County,GA
31.807458,-81.457871,Liberty County,GA
33.792151,-82.448299,Lincoln County,GA
31.749563,-81.74287,Long County,GA
30.833145,-83.268995,Lowndes County,GA
34.56814,-83.998925,Lumpkin County,GA
33.479623,-82.478733,McDuffie County,GA
31.488506,-81.372289,McIntosh County,GA
32.362686,-84.051231,Macon County,GA
34.128526,-83.203737,Madison County,GA
32.359312,-84.528735,Marion County,GA
33.029267,-84.667058,Meriwether County,GA
31.162931,-84.730398,Miller County,GA
31.228997,-84.192038,Mitchell County,GA
33.017435,-83.922938,Monroe County,GA
32.172108,-82.533349,Montgomery County,GA
33.598696,-83.499435,Morgan County,GA
34.797097,-84.73799,Murray County,GA
32.510197,-84.874946,Muscogee County,GA
33.544041,-83.855184,Newton County,GA
33.834125,-83.437728,Oconee County,GA
33.866806,-83.074081,Oglethorpe County,GA
33.92103,-84.867169,Paulding County,GA
32.571324,-83.831978,Peach County,GA
34.456746,-84.490351,Pickens County,GA
31.353998,-82.21037,Pierce County,GA
33.081224,-84.389848,Pike County,GA
33.996015,-85.188338,Polk County,GA
32.238803,-83.481845,Pulaski County,GA
33.32106,-83.37179,Putnam County,GA
31.862938,-85.004798,Quitman County,GA
34.883934,-83.40487,Rabun County,GA
31.762651,-84.752311,Randolph County,GA
33.361486,-82.074998,Richmond County,GA
33.652081,-84.02637,Rockdale County,GA
32.263444,-84.322708,Schley County,GA
32.744751,-81.617585,Screven County,GA
30.93396,-84.867685,Seminole County,GA
