State,County Name,Median Home Price 2017
IA,Mills County,170485
IA,Mitchell County,118607
IA,Monona County,89035
IA,Monroe County,104666
IA,Montgomery County,86394
IA,Muscatine County,135295
IA,O'Brien County,114066
IA,Osceola County,94527
IA,Page County,92520
IA,Palo Alto County,103610
IA,Plymouth County,158636
IA,Pocahontas County,77523
IA,Polk County,191881
IA,Pottawattamie County,153653
IA,Poweshiek County,138463
IA,Ringgold County,84071
IA,Sac County,93048
IA,Scott County,164080
IA,Shelby County,117974
IA,Sioux County,162438
IA,Story County,208201
IA,Tama County,111214
IA,Taylor County,80374
IA,Union County,99596
IA,Van Buren County,87345
IA,Wapello County,85549
IA,Warren County,182006
IA,Washington County,149165
IA,Wayne County,78896
IA,Webster County,100653
IA,Winnebago County,99702
IA,Winneshiek County,170571
IA,Woodbury County,132455
IA,Worth County,103504
IA,Wright County,83648
KS,Allen County,81121
KS,Anderson County,91028
KS,Atchison County,95879
KS,Barber County,78024
KS,Barton County,90409
KS,Bourbon County,85249
KS,Brown County,86591
KS,Butler County,163168
KS,Chase County,87932
KS,Chautauqua County,65330
KS,Cherokee County,80914
KS,Cheyenne County,89377
KS,Clark County,78850
KS,Clay County,103413
KS,Cloud County,75547
KS,Coffey County,114560
KS,Comanche County,75547
KS,Cowley County,88448
KS,Crawford County,90100
KS,Decatur County,65433
KS,Dickinson County,114250
KS,Doniphan County,106624
KS,Douglas County,224812
KS,Edwards County,63163
KS,Elk County,49849
KS,Ellis County,164512
KS,Ellsworth County,91338
KS,Finney County,130247
KS,Ford County,111876
KS,Franklin County,133760
KS,Geary County,146955
KS,Gove County,81430
KS,Graham County,71832
KS,Grant County,106097
KS,Gray County,121681
KS,Greeley County,88861
KS,Greenwood County,63059
KS,Hamilton County,89584
KS,Harper County,68839
KS,Harvey County,127854
KS,Haskell County,105890
KS,Hodgeman County,89480
KS,Jackson County,134007
KS,Jefferson County,142062
KS,Jewell County,55422
KS,Johnson County,280489
KS,Kearny County,101349
KS,Kingman County,95157
KS,Kiowa County,138091
KS,Labette County,77302
KS,Lane County,78850
KS,Leavenworth County,195199
KS,Lincoln County,71110
KS,Linn County,98259
KS,Logan County,85765
KS,Lyon County,101659
KS,McPherson County,144799
KS,Marion County,83907
KS,Marshall County,96395
KS,Meade County,91544
KS,Miami County,199046
KS,Mitchell County,88448
KS,Montgomery County,76373
KS,Morris County,98150
KS,Morton County,100833
KS,Nemaha County,120236
KS,Neosho County,79779
KS,Ness County,72761
KS,Norton County,76063
KS,Osage County,112143
KS,Osborne County,63266
KS,Ottawa County,101762
KS,Pawnee County,78024
KS,Phillips County,79366
KS,Pottawatomie County,175331
KS,Pratt County,90409
KS,Rawlins County,84320
KS,Reno County,99698
KS,Republic County,62440
KS,Rice County,77199
KS,Riley County,208057
KS,Rooks County,77818
KS,Rush County,72142
KS,Russell County,92989
KS,Saline County,129421
KS,Scott County,140258
KS,Sedgwick County,150616
KS,Seward County,101659
KS,Shawnee County,137145
KS,Sheridan County,104239
KS,Sherman County,89068
KS,Smith County,68323
KS,Stafford County,63782
KS,Stanton County,74206
KS,Stevens County,113528
KS,Sumner County,92327
KS,Thomas County,117656
KS,Trego County,87107
KS,Wabaunsee County,117060
KS,Wallace County,91132
KS,Washington County,77715
KS,Wichita County,86694
KS,Wilson County,68839
KS,Woodson County,54906
KS,Wyandotte County,119142
KY,Adair County,90555
KY,Allen County,108054
KY,Anderson County,146111
KY,Ballard County,108160
KY,Barren County,116382
KY,Bath County,82121
KY,Bell County,62619
KY,Boone County,206574
KY,Bourbon County,156812
KY,Boyd County,105328
KY,Boyle County,148746
KY,Bracken County,110353
KY,Breathitt County,52709
KY,Breckinridge County,100359
KY,Bullitt County,176684
KY,Butler County,95299
KY,Caldwell County,100464
KY,Calloway County,137150
KY,Campbell County,194708
KY,Carlisle County,94034
KY,Carroll County,109425
KY,Carter County,87814
KY,Casey County,81805
KY,Christian County,136786
KY,Clark County,150644
KY,Clay County,58613
KY,Clinton County,69682
KY,Crittenden County,89184
KY,Cumberland County,95193
KY,Daviess County,144685
KY,Edmonson County,92601
KY,Elliott County,76640
KY,Estill County,74847
KY,Fayette County,208975
KY,Fleming County,94772
KY,Floyd County,76850
KY,Franklin County,146848
KY,Fulton County,67046
KY,Gallatin County,118551
KY,Garrard County,138099
KY,Grant County,129122
KY,Graves County,100780
KY,Grayson County,107738
KY,Green County,79907
KY,Greenup County,104720
KY,Hancock County,115896
KY,Hardin County,158752
KY,Harlan County,56399
KY,Harrison County,140102
KY,Hart County,95088
KY,Henderson County,124492
KY,Henry County,135357
KY,Hickman County,74004
KY,Hopkins County,101835
KY,Jackson County,73688
KY,Jefferson County,187203
KY,Jessamine County,177807
KY,Johnson County,95193
KY,Kenton County,171732
KY,Knott County,54818
KY,Knox County,81067
KY,Larue County,112659
KY,Laurel County,107527
KY,Lawrence County,84757
KY,Lee County,67679
KY,Leslie County,51550
KY,Letcher County,61670
KY,Lewis County,72001
KY,Lincoln County,101308
KY,Livingston County,95720
KY,Logan County,111111
KY,Lyon County,129560
KY,McCracken County,156442
KY,McCreary County,64622
KY,McLean County,102830
KY,Madison County,168354
KY,Magoffin County,66730
KY,Marion County,105841
KY,Marshall County,124500
KY,Martin County,69049
KY,Mason County,117226
KY,Meade County,151137
KY,Menifee County,82016
KY,Mercer County,147481
KY,Metcalfe County,79275
KY,Monroe County,78537
KY,Montgomery County,124605
KY,Morgan County,81700
KY,Muhlenberg County,86443
KY,Nelson County,155430
KY,Nicholas County,86549
KY,Ohio County,93085
KY,Oldham County,308928
KY,Owen County,104470
KY,Owsley County,73793
KY,Pendleton County,114775
KY,Perry County,77272
KY,Pike County,79486
KY,Powell County,84124
KY,Pulaski County,115012
KY,Robertson County,99621
KY,Rockcastle County,85178
KY,Rowan County,127662
KY,Russell County,92031
KY,Scott County,184841
KY,Shelby County,198474
KY,Simpson County,137572
KY,Spencer County,204915
KY,Taylor County,112482
KY,Todd County,99937
KY,Trigg County,133110
KY,Trimble County,118612
KY,Union County,87603
KY,Warren County,177121
KY,Washington County,111322
KY,Wayne County,85811
KY,Webster County,85245
KY,Whitley County,88341
KY,Wolfe County,69260
KY,Woodford County,203672
LA,Acadia Parish,100856
LA,Allen Parish,87719
LA,Ascension Parish,220203
LA,Assumption Parish,118544
LA,Avoyelles Parish,93718
LA,Beauregard Parish,119165
LA,Bienville Parish,78616
